claim_id,domain,short_name,formal_statement,source_audits,canonical_version,evidence_class,mathematical_status,novelty_status,closest_prior_literature,literature_review_status,proof_location,source_url,computational_support,assumptions_scope,allowed_claim,forbidden_overclaim,physical_status,target_manuscript,editorial_action,priority,repository_status,next_action
MF-R030,Effective path cost,D_eff scales covariantly and normalized D_hat is gauge invariant,"For edge costs ell_ij = exp(q_ij), q -> q+c gives D_eff -> exp(c) D_eff, while a homogeneous normalization removes the global factor.",A23 and legacy RZS scale-gauge track,A23 plus legacy v10.9,EXACT_IDENTITY,PROVED,ELEMENTARY CONSEQUENCE OF EXPONENTIAL EDGE COSTS,Shortest paths and conformal/global scale transformations,NOVELTY CLAIM NOT NEEDED,audits/a23_exact_results/a23_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a23_exact_results/a23_theorem.md,Scale-gauge tests in the RZS track and A23.,Positive exponential edge costs and homogeneous normalization.,D_eff is a computational round-trip relational cost defined up to global scale.,"Physical distance, a Lorentzian metric, calibrated length, or spacetime geometry.",COMPUTATIONAL GEOMETRY ONLY,FOUNDATIONAL,KEEP WITH STRONG TERMINOLOGY CONTROL,P0,IN_REPOSITORY,
MF-R031,Operational q kernel,Exponential transition log-odds encode q contrasts,"For P(i->j) proportional to A_ij exp(-beta q_ij), log[P(i->j)/P(i->k)] = log(A_ij/A_ik) - beta(q_ij-q_ik) when both alternatives are allowed.",A24.1,A24.1 canonical,EXACT_IDENTITY + SYNTHETIC RECOVERY,PROVED FOR DECLARED KERNEL,CLASSICAL MULTINOMIAL-LOGIT IDENTITY APPLIED TO q,"Multinomial logit, Boltzmann/softmax kernels",CLASSICAL ATTRIBUTION REQUIRED,audits/a24_1_exact_results/a24_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a24_1_exact_results/a24_theorem.md,Corrected recovery and operational gates.,Kernel form and calibrated beta are supplied.,The exponential kernel makes q contrasts operational in transition odds.,That the kernel or beta follows from the RZS primitives.,"OPERATIONAL MODEL, NOT PHYSICAL LAW",FOUNDATIONAL,KEEP AS CANDIDATE MODEL WITH CLASSICAL ATTRIBUTION,P0,IN_REPOSITORY,
MF-R032,Scale degeneracy,Raw q scale and exponential strength are jointly degenerate,"The product beta(q_j-q_k) is invariant under q -> s q and beta -> beta/s, so raw-score data do not separately identify q scale and beta.","A24.1, A27",A27 canonical,EXACT_IDENTIFIABILITY_ARGUMENT,PROVED,STANDARD PARAMETERIZATION DEGENERACY,Scale non-identifiability in generalized linear choice models,CLASSICAL ATTRIBUTION / STATISTICAL IDENTIFIABILITY SEARCH REQUIRED,audits/a27_exact_results/a27_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a27_exact_results/a27_theorem.md,Synthetic parameter-recovery experiments.,Unstandardized q and exponential kernel.,Only the product of raw-score scale and coupling strength is identifiable without calibration.,That lambda is always pure gauge after any normalization.,MODEL IDENTIFIABILITY,FOUNDATIONAL,KEEP AS SHORT IDENTIFIABILITY LEMMA,P1,IN_REPOSITORY,
MF-R033,Kernel underdetermination,Scale-free standardized q scores admit infinitely many local kernels,"If z is a locally standardized q score, any positive admissible function f can define P_j proportional to f(z_j), so locality and affine invariance do not select a unique transition law.",A25,A25 canonical,CONSTRUCTIVE_FAMILY,PROVED BY EXPLICIT INFINITE FAMILY,LIKELY ELEMENTARY UNDERDETERMINATION; PROJECT APPLICATION,Choice models and invariant score transformations,NOVELTY CLAIM SHOULD BE MODEST,audits/a25_exact_results/a25_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a25_exact_results/a25_theorem.md,Thirty constructed observable/kernel combinations.,"Specified local standardization, relabel equivariance, and positivity.",The audited symmetry and locality principles leave the kernel law underdetermined.,That no additional axiom can select a law.,FOUNDATIONAL UNDERDETERMINATION,FOUNDATIONAL,KEEP AS SETUP FOR LUCE/IIA RESULT,P1,IN_REPOSITORY,
MF-R034,Exponential-family selection,Difference-based odds and IIA select an exponential score family,"If pairwise odds are context-independent and depend continuously on score differences through a multiplicative composition law, the positive solution is f(z)=C exp(-lambda z), with lambda free.",A26,A26 canonical,FUNCTIONAL_EQUATION,PROVED UNDER REGULARITY ASSUMPTIONS,CLASSICAL LUCE / CAUCHY RESULT; ATTRIBUTE,"Luce choice axiom, IIA, multinomial logit, exponential Cauchy equation",CLASSICAL ATTRIBUTION REQUIRED,audits/a26_exact_results/a26_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a26_exact_results/a26_theorem.md,Functional self-tests and alternative-principle audits.,"Continuity/regularity, positivity, difference dependence, multiplicative odds composition.",These axioms narrow the family to exponentials but do not fix lambda.,A wholly new derivation of multinomial logit or proof that nature obeys IIA.,FOUNDATIONAL MODEL SELECTION,FOUNDATIONAL,REWRITE AS CLASSICAL THEOREM WITH PROJECT-SPECIFIC CONSEQUENCE,P0,IN_REPOSITORY,
MF-R035,Status of lambda,"After local standardization, lambda is an identifiable dimensionless model parameter but remains underived",Standardizing q removes raw affine scale freedom; distinct lambda values then produce observationally distinct kernels and can be estimated from synthetic data.,A27,A27 canonical,IDENTIFIABILITY_PROPOSITION + MONTE_CARLO,CONDITIONAL / COMPUTATIONALLY SUPPORTED,PROJECT-SPECIFIC MODEL-STATUS RESULT,Identifiability in discrete-choice models,DEDICATED STATISTICAL LITERATURE SEARCH REQUIRED,audits/a27_exact_results/a27_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a27_exact_results/a27_theorem.md,Synthetic recovery RMSE and model comparisons.,"Correct kernel family, sufficient data, chosen standardization, no misspecification.",lambda is not removable after standardization and must be estimated or derived separately.,A fundamental constant or a value predicted by the current theory.,"MODEL PARAMETER, NOT DERIVED CONSTANT",FOUNDATIONAL,KEEP AS STATUS RESULT; MOVE RMSE DETAILS TO SUPPLEMENT,P1,IN_REPOSITORY,
MF-R036,Context-scale incompatibility,No nontrivial continuous cardinal score satisfies both extension stability and full positive-affine invariance,"Under the A28 definitions, invariance under all q -> a q+b with a>0 and stability under arbitrary context extension force a continuous cardinal score to be trivial.",A28,A28 canonical,NO_GO_THEOREM,PROVED,POTENTIALLY ORIGINAL FORMULATION; HIGH-PRIORITY NOVELTY SEARCH,"Measurement invariance, functional equations, context effects in choice theory",DEDICATED NOVELTY SEARCH REQUIRED,audits/a28_exact_results/a28_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a28_exact_results/a28_theorem.md,Exact witness tests and frozen gates support the proof implementation.,"The precise continuity, invariance, and extension-stability axioms stated in A28.",The three audited requirements are jointly incompatible for a nontrivial cardinal score.,"No meaningful score can ever be defined, or the theorem applies outside its explicit axioms.",FOUNDATIONAL NO-GO,FOUNDATIONAL,PROMOTE TO A CENTRAL THEOREM AFTER LITERATURE REVIEW,P0,IN_REPOSITORY,"Conduct a focused search in measurement theory, quasi-arithmetic means, and context-independent choice."
MF-R037,Refinement with base measure,Additive base measure restores exact clone/refinement invariance for weighted messages,Replacing listing counts by additive masses mu and aggregating weighted sufficient statistics makes exact splitting of a state into same-q children representation-invariant.,A29.1,A29.1 canonical failure-with-partial-result,EXACT_IDENTITY + COMPUTATIONAL_TEST,PROVED AWAY FROM SINGULAR BOUNDARY,LIKELY STANDARD WEIGHTED-MEASURE COROLLARY,Measure-preserving refinement and sufficient statistics,CLASSICAL ATTRIBUTION / NOVELTY SEARCH REQUIRED,audits/a29_1_exact_results/a29_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a29_1_exact_results/a29_theorem.md,Exact refinement tests; overall protocol remains FAIL because of nondegeneracy boundary.,Positive additive masses and well-defined weighted context statistics.,Base-measure weighting removes naive clone-count dependence.,That the origin or physical semantics of mu are derived.,FOUNDATIONAL MEASURE CONTRACT,FOUNDATIONAL,KEEP POSITIVE IDENTITY; REPORT OVERALL FAILURE HONESTLY,P1,IN_REPOSITORY,
MF-R038,Refinement boundary,Weighted standardization is singular at zero variance and not uniformly stable near vanishing mass,"When weighted q variance is zero, z-scores are undefined; arbitrarily small-mass refinements can create unstable standardized coordinates near that boundary.",A29.1,A29.1 canonical,CONSTRUCTIVE_COUNTEREXAMPLE + LIMIT_ANALYSIS,PROVED / DEMONSTRATED,PROJECT-SPECIFIC BOUNDARY OBSTRUCTION,Instability of normalized statistics near degenerate variance,NOVELTY SEARCH OPTIONAL,audits/a29_1_exact_results/a29_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a29_1_exact_results/a29_theorem.md,Boundary and near-boundary numerical witnesses.,Weighted z-score construction.,The proposed standardized message needs an explicit nondegeneracy domain or a different boundary treatment.,That all weighted coarse-graining is unstable.,MATHEMATICAL BOUNDARY CONDITION,FOUNDATIONAL,KEEP AS TECHNICAL LIMIT OR APPENDIX RESULT,P2,IN_REPOSITORY,
MF-R039,Multiplicity semantics,Relation plus q cannot distinguish descriptive clones from ontically distinct copies,Two refined structures can be isomorphic as relation-plus-q marked objects while differing only in the intended interpretation of repeated states; invariant observables cannot recover that semantic distinction.,A30,A30 canonical,SEMANTIC_IDENTIFIABILITY_NO_GO,PROVED UNDER REPRESENTATIONAL ASSUMPTIONS,POTENTIALLY ORIGINAL FRAMEWORK FORMULATION; BASIC LOGIC IS GENERAL,"Indiscernibility, quotient representations, multiplicity measures",PHILOSOPHY/MATHEMATICS LITERATURE REVIEW REQUIRED,audits/a30_exact_results/a30_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a30_exact_results/a30_theorem.md,Clone constructions and failed order/q-derived candidate measures.,"No external multiplicity labels, transport history, or base mass supplied.",An additional refinement/multiplicity semantics is required to distinguish the two interpretations.,Proof that copies can never be physically distinguished by any enriched future theory.,FOUNDATIONAL ONTOLOGY / IDENTIFIABILITY,FOUNDATIONAL,KEEP AS CORE MOTIVATION FOR mu,P0,IN_REPOSITORY,
MF-R040,Finite additive measure,Positive leaf weights have a unique additive extension on a finite refinement tree,"Given positive terminal weights w_l, mu(A)=sum_{l descendant of A} w_l is the unique finitely additive extension consistent with those leaf weights and is independent of refinement order.",A31,A31 canonical,FINITE_MEASURE_THEOREM + EXACT_TESTS,PROVED,CLASSICAL FINITE ADDITIVITY RESULT; PROJECT APPLICATION,Measures on finite trees and hierarchical aggregation,CLASSICAL ATTRIBUTION / NOVELTY CLAIM NOT NEEDED,audits/a31_exact_results/a31_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a31_exact_results/a31_theorem.md,"2,500 trees, multiple merge orders, commutation and dynamic splitting tests.",Finite rooted refinement tree and supplied terminal weights.,"Once leaf weights are supplied, additive mass is path-independent and uniquely determined.",That terminal leaves or their weights are physically selected.,FOUNDATIONAL MEASURE CONSTRUCTION,FOUNDATIONAL,"RECAST AS LEMMA, MOVE LARGE TEST TABLES TO REPOSITORY",P1,IN_REPOSITORY,
MF-R041,Infinite refinement,Consistent finite-branching refinements define a projective measure without terminal leaves,A consistent family of cylinder probabilities on an infinite finitely branching refinement tree extends to a measure on infinite paths.,A32,A32 canonical,CLASSICAL_EXTENSION_THEOREM + EXAMPLES,PROVED VIA STANDARD THEOREM,CLASSICAL KOLMOGOROV/DANIELL EXTENSION APPLICATION,Kolmogorov extension theorem and probability on trees,CLASSICAL ATTRIBUTION REQUIRED,audits/a32_exact_results/a32_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a32_exact_results/a32_theorem.md,Constructed atomic and non-atomic examples; numerical martingale checks.,Projective consistency and regular measurable state spaces.,Terminal ontology is not mathematically required for a projective measure.,A new extension theorem or proof that physical reality is infinitely divisible.,FOUNDATIONAL MATHEMATICS,FOUNDATIONAL,"KEEP AS CLASSICAL PILLAR, NOT NEW THEOREM",P0,IN_REPOSITORY,
MF-R042,Atomicity versus terminality,Atomicity and terminality are logically distinct,An infinite nonterminal branch can retain positive atom mass; conversely a terminal-free refinement with uniformly shrinking cylinder masses can be non-atomic.,A32,A32 canonical,CONSTRUCTIVE_EXAMPLES,PROVED,CLEAN FRAMEWORK-SPECIFIC ILLUSTRATION OF CLASSICAL DISTINCTION,Atoms in product measures and measures on trees,NOVELTY CLAIM NOT CENTRAL,audits/a32_exact_results/a32_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a32_exact_results/a32_theorem.md,Telescoping product example converging exactly to 1/2 and non-atomic bounded-branching example.,Declared branch probabilities.,Terminal nodes and measure atoms must not be identified.,A classification of all refinement measures.,FOUNDATIONAL CLARIFICATION,FOUNDATIONAL,KEEP AS A STRONG EXAMPLE,P1,IN_REPOSITORY,
MF-R043,Projective branch fractions,Exact regrouping consistency gives conditional ratios of additive weights,"If positive subtree weights add under partitions, the consistent branch fraction is p(B|A)=W(B)/W(A).",A33,A33 canonical,MEASURE-THEORETIC IDENTITY,PROVED,CLASSICAL CONDITIONAL-PROBABILITY STRUCTURE,Conditional probability from finite additive measures,CLASSICAL ATTRIBUTION REQUIRED,audits/a33_exact_results/a33_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a33_exact_results/a33_theorem.md,"2,200 configurations and multiple regrouping trees; exact errors near machine precision.",Positive additive subtree weights.,Projective regrouping selects the ratio architecture once W is given.,That projectivity selects the terminal weights or their physical origin.,FOUNDATIONAL MEASURE CONTRACT,FOUNDATIONAL,STATE AS CONDITIONAL-MEASURE LEMMA,P0,IN_REPOSITORY,
MF-R044,Partition-sum weights,W_lambda(B)=sum mu_l exp(-lambda q_l) is exactly projective and gauge covariant,"The partition sum is additive over disjoint descendants, obeys exact recursive aggregation, and under q->q+c scales by exp(-lambda c), leaving normalized branch fractions invariant.",A33,A33 canonical,EXACT_IDENTITY + ENUMERATIVE TEST,PROVED,CLASSICAL LOG-SUM-EXP / PARTITION-FUNCTION ALGEBRA APPLIED TO FRAMEWORK,Partition functions and additive measures,NOVELTY CLAIM SHOULD BE MODEST,audits/a33_exact_results/a33_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a33_exact_results/a33_theorem.md,Maximum regrouping TV about 3.3e-16; gauge and message recursion tests.,"Supplied mu, q, and lambda.",This weight is an exact static projective message for the chosen exponential law.,"Thermodynamic energy, physical temperature, or a derived fundamental law.",STATIC OPERATIONAL CONSTRUCTION,FOUNDATIONAL,KEEP AS BRIDGE TO Q_lambda,P0,IN_REPOSITORY,
MF-R045,Weight underdetermination,Projectivity does not determine terminal weights or their ontology,Distinct positive terminal-weight assignments satisfy the same ratio and regrouping laws but induce different branch probabilities.,A31-A33,A33 canonical synthesis,CONSTRUCTIVE_UNDERDETERMINATION,PROVED BY COUNTERFAMILY,GENERAL MEASURE-THEORETIC FACT / FRAMEWORK CONSEQUENCE,Underdetermination of measures by consistency axioms,NOVELTY CLAIM NOT CENTRAL,audits/a33_exact_results/a33_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a33_exact_results/a33_summary.json,Alternative weight systems show median total-variation separation around 0.399 in the A33 ensemble.,Projective architecture fixed; terminal weights free.,"Consistency constrains how weights combine, not which weights nature uses.",That no physical or statistical principle could determine weights.,FOUNDATIONAL UNDERDETERMINATION,FOUNDATIONAL,KEEP AS CENTRAL LIMIT,P1,IN_REPOSITORY,
MF-R046,Effective score,Q_lambda is statically associative,Q_lambda(B)=-(1/lambda) log[(sum_i mu_i exp(-lambda q_i))/(sum_i mu_i)] gives the same result under direct or hierarchical aggregation when each block passes total mass and Q_lambda.,A34,A34 canonical,EXACT_IDENTITY,PROVED,CLASSICAL QUASI-ARITHMETIC / LOG-SUM-EXP PROPERTY,Kolmogorov-Nagumo means and log-sum-exp aggregation,CLASSICAL ATTRIBUTION REQUIRED,audits/a34_exact_results/a34_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a34_exact_results/a34_theorem.md,Associativity error <=7.1e-14 across the A34 ensemble.,Positive masses and fixed lambda.,Q_lambda is an exact static sufficient score for the corresponding partition sum.,A unique coarse-graining variable for every observable or a thermodynamic state variable.,STATIC OPERATIONAL CONSTRUCTION,FOUNDATIONAL,"KEEP, BUT ATTRIBUTE QUASI-ARITHMETIC STRUCTURE",P0,IN_REPOSITORY,
MF-R047,Affine covariance of Q,Q_lambda(aq+c)=c+a Q_{a lambda}(q),"For a>0 and any offset c, the effective score transforms by Q_lambda(aq+c)=c+a Q_{a lambda}(q).",A34,A34 canonical,EXACT_IDENTITY,PROVED ALGEBRAICALLY,POTENTIALLY ORIGINAL EMPHASIS; ALGEBRA ITSELF ELEMENTARY,Log moment-generating functions and entropic risk measures,DEDICATED NOVELTY SEARCH REQUIRED,audits/a34_exact_results/a34_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a34_exact_results/a34_theorem.md,Maximum numerical identity error 2.66e-15.,Fixed positive masses; finite partition sum.,The scale transformation changes the effective lambda and therefore couples score scale to the parameter.,A physical renormalization-group law.,MATHEMATICAL IDENTITY,FOUNDATIONAL,KEEP AS CORE IDENTITY,P0,IN_REPOSITORY,
MF-R048,Dynamic contraction identity,Q'_lambda=(1-a) q_bar + a Q_{a lambda},"Under the centered affine contraction q'_i=(1-a) q_bar + a q_i, the effective score obeys Q'_lambda=(1-a) q_bar+a Q_{a lambda}(q).",A34,A34 canonical,EXACT_DYNAMIC_IDENTITY,PROVED,POTENTIALLY ORIGINAL AND TECHNICALLY STRONG; NOVELTY SEARCH REQUIRED,Log-Laplace transforms under affine maps; entropic risk measures,HIGH-PRIORITY DEDICATED NOVELTY SEARCH,audits/a34_exact_results/a34_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a34_exact_results/a34_theorem.md,Exact numerical verification to 5.6e-17.,Declared centered affine contraction; no general nonlinear dynamics.,The contraction transports the whole Q(lambda) curve by rescaling lambda.,A fundamental physical evolution equation or closure of the full RZS dynamics.,MODEL-SPECIFIC EXACT IDENTITY,FOUNDATIONAL,PROMOTE TO CENTRAL PROPOSITION AFTER LITERATURE REVIEW,P0,IN_REPOSITORY,
MF-R049,Dynamic non-closure,A single Q_lambda is not generally a dynamically closed state variable,"Distinct microdistributions can have the same mass, mean, and Q_lambda at one lambda but produce different future Q_lambda under the same contraction.",A34,A34 canonical,CONSTRUCTIVE_COUNTEREXAMPLE + EXACT_IDENTITY,PROVED,POTENTIALLY ORIGINAL FRAMEWORK CONSEQUENCE,"Moment problems, sufficient statistics, closure of log-Laplace transforms",DEDICATED NOVELTY SEARCH REQUIRED,audits/a34_exact_results/a34_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a34_exact_results/a34_theorem.md,Matched-state witnesses; minimum future difference 0.007059 and broader ensemble differences.,General non-Gaussian microdistributions; specified contraction.,One point of the Q curve is insufficient for exact dynamics in general.,No finite-dimensional closure can exist under any restricted distribution family.,DYNAMIC CLOSURE OBSTRUCTION,FOUNDATIONAL,KEEP AS CENTRAL THEOREM/COUNTEREXAMPLE,P0,IN_REPOSITORY,
MF-R050,Cumulant hierarchy,Q_lambda depends on the cumulant hierarchy,"Where the log moment-generating expansion exists, Q_lambda = mean - (lambda/2) variance + (lambda^2/6) kappa_3 - (lambda^3/24) kappa_4 + ... .",A34,A34 canonical,CLASSICAL_SERIES + NUMERICAL_APPROXIMATION,PROVED UNDER ANALYTICITY,CLASSICAL CUMULANT EXPANSION,Cumulant-generating functions,CLASSICAL ATTRIBUTION REQUIRED,audits/a34_exact_results/a34_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a34_exact_results/a34_theorem.md,Approximation errors decrease as kappa_3 and kappa_4 are included.,Exponential moments and convergence/validity of the expansion.,Higher cumulants explain the generic failure of mean-variance closure.,A globally convergent expansion for heavy-tailed laws.,MATHEMATICAL BACKGROUND,FOUNDATIONAL,"KEEP AS DERIVATION SUPPORT, NOT NEW RESULT",P1,IN_REPOSITORY,
MF-R051,Gaussian closure,Gaussian affine dynamics close exactly in mean and variance,"If q is Gaussian and innovations are Gaussian under an affine update, the state remains Gaussian and Q_lambda=mean-(lambda/2)variance is exactly determined by the first two moments.",A35,A35 canonical,CLASSICAL_CONDITIONAL_THEOREM + SIMULATION,PROVED,CLASSICAL GAUSSIAN CLOSURE,Gaussian AR processes and cumulant-generating functions,CLASSICAL ATTRIBUTION REQUIRED,audits/a35_exact_results/a35_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a35_exact_results/a35_theorem.md,Exact closure identity error <=1.78e-15.,"Gaussian initial law, Gaussian affine innovations, finite variance.",Mean-variance closure is exact inside the Gaussian invariant family.,"That centering, finite variance, or the present RZS law derives Gaussianity.",CONDITIONAL MODEL CLOSURE,FOUNDATIONAL,KEEP AS CONDITIONAL SPECIAL CASE,P0,IN_REPOSITORY,
MF-R052,Non-Gaussian innovations,Centering does not Gaussianize innovations or eliminate higher cumulants,Affine recursions with non-Gaussian innovations retain law-specific stationary cumulants; centered Rademacher components remain strongly non-Gaussian.,A35,A35 canonical,CUMULANT_IDENTITY + MONTE_CARLO,PROVED / COMPUTATIONALLY DEMONSTRATED,CLASSICAL TIME-SERIES FACT,AR(1) cumulants and linear processes,CLASSICAL ATTRIBUTION REQUIRED,audits/a35_exact_results/a35_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a35_exact_results/a35_summary.json,Stationary Rademacher excess kurtosis -0.3800669; finite-dimensional centered components remain non-Gaussian.,Affine independent innovations; stated distributions.,Centered noise is not equivalent to Gaussian noise.,A universal statement about every interacting RZS graph process.,NOISE-LAW LIMIT,FOUNDATIONAL,KEEP AS CORRECTION TO A COMMON ASSUMPTION,P1,IN_REPOSITORY,
MF-R053,Gaussian selection,Gaussianity is selected only by additional strong assumption packages,"Fixed-variance maximum entropy, exact finite-variance stability under normalized sums, or rotational invariance plus independent components can select Gaussian laws; each conclusion is conditional on its assumptions.","A36, A36.1",A36.1 canonical corrective diagnostic,CLASSICAL_THEOREM_SYNTHESIS + REGRESSION_TESTS,CLASSICAL CONDITIONAL RESULTS,CLASSICAL; SYNTHESIS IS FRAMEWORK VALUE,"Maximum entropy, stable laws, Maxwell characterization",CLASSICAL ATTRIBUTION REQUIRED,audits/a36_1_exact_results/a36_1_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a36_1_exact_results/a36_1_theorem.md,"Entropy calculations, characteristic-function stability tests, corrected CLT diagnostic.",Each theorem's own assumptions; finite variance where stated.,The framework can list sufficient Gaussian-selection principles and identify which are currently absent.,That the present RZS dynamics derives Gaussian noise.,CONDITIONAL NOISE MODEL,FOUNDATIONAL,KEEP AS SYNTHESIS; REDUCE AUDIT LOG IN MAIN TEXT,P1,IN_REPOSITORY,
MF-R054,CLT status,Central-limit convergence is asymptotic and requires independence or mixing plus tail conditions,"Finite-variance normalized sums can approach Gaussian characteristic functions, but finite-n lattice effects remain and weak convergence alone does not control exponential moments.","A36.1, A37.1",A37.1 canonical synthesis,CLASSICAL_THEOREM + CORRECTED NUMERICAL DIAGNOSTIC,CLASSICAL CONDITIONAL RESULT,CLASSICAL,Lindeberg-Feller CLT and uniform integrability,CLASSICAL ATTRIBUTION REQUIRED,audits/a37_1_exact_results/a37_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a37_1_exact_results/a37_theorem.md,Compact characteristic-function error decreases through n=2048 for bounded/light-tailed laws.,Independent normalized sums; stated moment and tail controls.,"Gaussian universality is a conditional asymptotic regime, not an automatic consequence of centering.",Exact finite-scale Gaussianity or convergence of all nonlinear observables.,CONDITIONAL UNIVERSALITY,FOUNDATIONAL,KEEP AS BACKGROUND FOR A37 RESULT,P1,IN_REPOSITORY,
MF-R055,Partial noise universality,Matched mean and variance universalize low-order linear observables but not nonlinear/tail observables,"In the affine stationary audit, variance and autocorrelation are law-independent by construction, while excess kurtosis, Q_lambda, tail behavior, and standardized kernel statistics remain law-sensitive.",A37.1,A37.1 canonical,ANALYTIC_CUMULANTS + MONTE_CARLO,CONDITIONAL MODEL RESULT,PROJECT-SPECIFIC SYNTHESIS OF CLASSICAL LINEAR-PROCESS FACTS,"Linear processes, universality, cumulants",NOVELTY CLAIM SHOULD BE MODEST,audits/a37_1_exact_results/a37_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a37_1_exact_results/a37_summary.json,Stationary excess spread 0.95017; Q spread at lambda=2 is 0.40743; kernel concentration spread about 0.02098.,Affine scalar/vector surrogate with a=0.825 and specified innovation laws.,Noise details can be dispensable for some observables and essential for others.,Universality of the full RZS graph dynamics.,CONDITIONAL MODEL RESULT,FOUNDATIONAL,KEEP AS QUALIFIED OBSERVABLE-DEPENDENCE RESULT,P1,IN_REPOSITORY,
MF-R056,Heavy-tail obstruction,Finite variance does not guarantee finite Q_lambda,"Student-t innovations can have finite variance and finite fourth moment while E[exp(-lambda X)] diverges for every nonzero real lambda, making the population Q_lambda non-finite.",A37.1,A37.1 canonical,CLASSICAL_TAIL_RESULT + FRAMEWORK CONSEQUENCE,PROVED,CLASSICAL; IMPORTANT APPLICATION,Moment-generating functions of heavy-tailed distributions,CLASSICAL ATTRIBUTION REQUIRED,audits/a37_1_exact_results/a37_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a37_1_exact_results/a37_theorem.md,Analytic divergence classification; no finite-sample convergence claim substituted.,Student-t-type polynomial tails and real exponential moment.,The partition-score formalism requires stronger tail control than finite variance.,That every heavy-tailed alternative is inadmissible for every observable.,MATHEMATICAL DOMAIN RESTRICTION,FOUNDATIONAL,KEEP AS STRONG DOMAIN-OF-DEFINITION WARNING,P0,IN_REPOSITORY,
MF-R057,Dependence obstruction,Shared non-Gaussian factors can block Gaussian coarse-graining,"For Xi=sqrt(rho)C+sqrt(1-rho)Gi with common non-Gaussian C, variance-normalized block sums retain a non-Gaussian common component as block size grows.",A37.1,A37.1 canonical,ANALYTIC_COUNTEREXAMPLE,PROVED,CLASSICAL COMMON-FACTOR COUNTEREXAMPLE,Dependent CLTs and factor models,CLASSICAL ATTRIBUTION / NOVELTY NOT CENTRAL,audits/a37_1_exact_results/a37_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a37_1_exact_results/a37_theorem.md,"At block size 1024, standardized excess kurtosis approaches -2 in the audited rho=0.25 example.",Persistent common factor; no vanishing dependence.,Independence or adequate mixing is a substantive requirement for Gaussian universality.,That all correlated systems fail to Gaussianize.,CONDITIONAL UNIVERSALITY LIMIT,FOUNDATIONAL,KEEP AS ONE CLEAN COUNTEREXAMPLE,P1,IN_REPOSITORY,
MF-R058,Quasi-arithmetic coarse-graining,Translation-covariant decomposable quasi-arithmetic means reduce to arithmetic or exponential families,"Within the continuous strictly monotone weighted quasi-arithmetic class, decomposability plus M(q+c)=M(q)+c yields affine generators (arithmetic mean) or exponential generators (log-sum-exp family), up to equivalent reparameterization.",A38.1,A38.1 canonical,CLASSICAL_CHARACTERIZATION + NUMERICAL_CHECKS,CLASSICAL UNDER REGULARITY ASSUMPTIONS,CLASSICAL KOLMOGOROV-NAGUMO/ACZEL RESULT,Quasi-arithmetic means and translation invariance,CLASSICAL ATTRIBUTION REQUIRED,audits/a38_1_exact_results/a38_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a38_1_exact_results/a38_theorem.md,"Associativity and gauge checks for arithmetic, exponential, median, minimum, and RMS.",Continuous strictly monotone quasi-arithmetic means; exact decomposability.,The audited regular mean class contains two translation-covariant families relevant to the framework.,A new classification theorem or uniqueness of a physical coarse-graining.,MATHEMATICAL BACKGROUND,FOUNDATIONAL,REWRITE AS CLASSICAL THEOREM WITH CONSEQUENCES,P0,IN_REPOSITORY,
